[2025-07-18T14:53:00.000+05:30]: Time: 1752830580000 | BB Width: 3.3256% | Upper: 723.4883 | Lower: 699.8217 | Middle: 711.655 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:54:00.000+05:30]: Time: 1752830640000 | BB Width: 4.0979% | Upper: 727.4867 | Lower: 698.2733 | Middle: 712.88 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:55:00.000+05:30]: Time: 1752830700000 | BB Width: 4.3787% | Upper: 729.4632 | Lower: 698.2068 | Middle: 713.835 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:56:00.000+05:30]: Time: 1752830760000 | BB Width: 4.5495% | Upper: 731.0367 | Lower: 698.5183 | Middle: 714.7775 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:57:00.000+05:30]: Time: 1752830820000 | BB Width: 4.5904% | Upper: 732.0526 | Lower: 699.2024 | Middle: 715.6275 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:58:00.000+05:30]: Time: 1752830880000 | BB Width: 4.5754% | Upper: 732.8223 | Lower: 700.0427 | Middle: 716.4325 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:59:00.000+05:30]: Time: 1752830940000 | BB Width: 4.4969% | Upper: 733.3182 | Lower: 701.0668 | Middle: 717.1925 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:00:00.000+05:30]: Time: 1752831000000 | BB Width: 4.4121% | Upper: 733.8061 | Lower: 702.1289 | Middle: 717.9675 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:01:00.000+05:30]: Time: 1752831060000 | BB Width: 4.2384% | Upper: 733.8719 | Lower: 703.4131 | Middle: 718.6425 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:02:00.000+05:30]: Time: 1752831120000 | BB Width: 4.0063% | Upper: 733.7828 | Lower: 704.9622 | Middle: 719.3725 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:03:00.000+05:30]: Time: 1752831180000 | BB Width: 3.7099% | Upper: 733.4295 | Lower: 706.7155 | Middle: 720.0725 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:04:00.000+05:30]: Time: 1752831240000 | BB Width: 3.3938% | Upper: 732.9551 | Lower: 708.4949 | Middle: 720.725 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:05:00.000+05:30]: Time: 1752831300000 | BB Width: 2.9872% | Upper: 732.0808 | Lower: 710.5342 | Middle: 721.3075 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:06:00.000+05:30]: Time: 1752831360000 | BB Width: 2.5479% | Upper: 731.0791 | Lower: 712.6859 | Middle: 721.8825 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:07:00.000+05:30]: Time: 1752831420000 | BB Width: 2.0239% | Upper: 729.685 | Lower: 715.065 | Middle: 722.375 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:08:00.000+05:30]: Time: 1752831480000 | BB Width: 1.9874% | Upper: 729.6291 | Lower: 715.2709 | Middle: 722.45 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:09:00.000+05:30]: Time: 1752831540000 | BB Width: 1.8076% | Upper: 729.1814 | Lower: 716.1186 | Middle: 722.65 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:10:00.000+05:30]: Time: 1752831600000 | BB Width: 1.8937% | Upper: 729.3587 | Lower: 715.6763 | Middle: 722.5175 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:11:00.000+05:30]: Time: 1752831660000 | BB Width: 2.0222% | Upper: 729.6285 | Lower: 715.0215 | Middle: 722.325 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:12:00.000+05:30]: Time: 1752831720000 | BB Width: 2.1328% | Upper: 729.8257 | Lower: 714.4243 | Middle: 722.125 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:13:00.000+05:30]: Time: 1752831780000 | BB Width: 2.156% | Upper: 729.3713 | Lower: 713.8137 | Middle: 721.5925 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:14:00.000+05:30]: Time: 1752831840000 | BB Width: 1.8119% | Upper: 727.3198 | Lower: 714.2602 | Middle: 720.79 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:15:00.000+05:30]: Time: 1752831900000 | BB Width: 1.6774% | Upper: 726.3511 | Lower: 714.2689 | Middle: 720.31 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:16:00.000+05:30]: Time: 1752831960000 | BB Width: 1.5405% | Upper: 725.3696 | Lower: 714.2804 | Middle: 719.825 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:17:00.000+05:30]: Time: 1752832020000 | BB Width: 1.4775% | Upper: 724.7273 | Lower: 714.0977 | Middle: 719.4125 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:18:00.000+05:30]: Time: 1752832080000 | BB Width: 1.3858% | Upper: 724.0551 | Lower: 714.0899 | Middle: 719.0725 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:19:00.000+05:30]: Time: 1752832140000 | BB Width: 1.2967% | Upper: 723.4831 | Lower: 714.1619 | Middle: 718.8225 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:20:00.000+05:30]: Time: 1752832200000 | BB Width: 1.131% | Upper: 722.5832 | Lower: 714.4568 | Middle: 718.52 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:21:00.000+05:30]: Time: 1752832260000 | BB Width: 1.066% | Upper: 722.1563 | Lower: 714.4987 | Middle: 718.3275 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:22:00.000+05:30]: Time: 1752832320000 | BB Width: 0.9479% | Upper: 721.5336 | Lower: 714.7264 | Middle: 718.13 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:23:00.000+05:30]: Time: 1752832380000 | BB Width: 0.8461% | Upper: 720.9696 | Lower: 714.8954 | Middle: 717.9325 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:24:00.000+05:30]: Time: 1752832440000 | BB Width: 0.7215% | Upper: 720.3519 | Lower: 715.1731 | Middle: 717.7625 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:25:00.000+05:30]: Time: 1752832500000 | BB Width: 0.6813% | Upper: 720.1247 | Lower: 715.2353 | Middle: 717.68 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:26:00.000+05:30]: Time: 1752832560000 | BB Width: 0.5787% | Upper: 719.6189 | Lower: 715.4661 | Middle: 717.5425 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:27:00.000+05:30]: Time: 1752832620000 | BB Width: 0.5439% | Upper: 719.3862 | Lower: 715.4838 | Middle: 717.435 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:28:00.000+05:30]: Time: 1752832680000 | BB Width: 0.4578% | Upper: 718.8818 | Lower: 715.5982 | Middle: 717.24 | Threshold: 1 | Squeeze: YES
[2025-07-18T15:29:00.000+05:30]: Time: 1752832740000 | BB Width: 0.7167% | Upper: 719.4716 | Lower: 714.3334 | Middle: 716.9025 | Threshold: 1 | Squeeze: YES
