[2025-07-18T13:05:00.000+05:30]: Time: 1752824100000 | BB Width: 0.5235% | Upper: 704.7297 | Lower: 701.0503 | Middle: 702.89 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:10:00.000+05:30]: Time: 1752824400000 | BB Width: 0.5336% | Upper: 704.7378 | Lower: 700.9872 | Middle: 702.8625 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:15:00.000+05:30]: Time: 1752824700000 | BB Width: 0.5515% | Upper: 704.7306 | Lower: 700.8544 | Middle: 702.7925 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:20:00.000+05:30]: Time: 1752825000000 | BB Width: 0.5593% | Upper: 704.7328 | Lower: 700.8022 | Middle: 702.7675 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:25:00.000+05:30]: Time: 1752825300000 | BB Width: 0.5582% | Upper: 704.7315 | Lower: 700.8085 | Middle: 702.77 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:30:00.000+05:30]: Time: 1752825600000 | BB Width: 0.5579% | Upper: 704.733 | Lower: 700.812 | Middle: 702.7725 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:35:00.000+05:30]: Time: 1752825900000 | BB Width: 0.5411% | Upper: 704.7166 | Lower: 700.9134 | Middle: 702.815 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:40:00.000+05:30]: Time: 1752826200000 | BB Width: 0.5458% | Upper: 704.7555 | Lower: 700.9195 | Middle: 702.8375 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:45:00.000+05:30]: Time: 1752826500000 | BB Width: 0.5759% | Upper: 704.984 | Lower: 700.936 | Middle: 702.96 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:50:00.000+05:30]: Time: 1752826800000 | BB Width: 0.6686% | Upper: 705.4353 | Lower: 700.7347 | Middle: 703.085 | Threshold: 1 | Squeeze: YES
[2025-07-18T13:55:00.000+05:30]: Time: 1752827100000 | BB Width: 0.7458% | Upper: 705.9025 | Lower: 700.6575 | Middle: 703.28 | Threshold: 1 | Squeeze: YES
[2025-07-18T14:00:00.000+05:30]: Time: 1752827400000 | BB Width: 0.8122% | Upper: 706.2088 | Lower: 700.4962 | Middle: 703.3525 | Threshold: 1 | Squeeze: YES
[2025-07-18T14:05:00.000+05:30]: Time: 1752827700000 | BB Width: 0.8649% | Upper: 706.4668 | Lower: 700.3832 | Middle: 703.425 | Threshold: 1 | Squeeze: YES
[2025-07-18T14:10:00.000+05:30]: Time: 1752828000000 | BB Width: 0.9298% | Upper: 706.7883 | Lower: 700.2467 | Middle: 703.5175 | Threshold: 1 | Squeeze: YES
[2025-07-18T14:15:00.000+05:30]: Time: 1752828300000 | BB Width: 0.9521% | Upper: 706.9243 | Lower: 700.2257 | Middle: 703.575 | Threshold: 1 | Squeeze: YES
[2025-07-18T14:20:00.000+05:30]: Time: 1752828600000 | BB Width: 1.0047% | Upper: 707.255 | Lower: 700.185 | Middle: 703.72 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:25:00.000+05:30]: Time: 1752828900000 | BB Width: 1.0371% | Upper: 707.5902 | Lower: 700.2898 | Middle: 703.94 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:30:00.000+05:30]: Time: 1752829200000 | BB Width: 1.1071% | Upper: 708.0879 | Lower: 700.2921 | Middle: 704.19 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:35:00.000+05:30]: Time: 1752829500000 | BB Width: 1.1422% | Upper: 708.5184 | Lower: 700.4716 | Middle: 704.495 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:40:00.000+05:30]: Time: 1752829800000 | BB Width: 1.2062% | Upper: 709.0355 | Lower: 700.5345 | Middle: 704.785 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:45:00.000+05:30]: Time: 1752830100000 | BB Width: 1.7202% | Upper: 711.4547 | Lower: 699.3203 | Middle: 705.3875 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:50:00.000+05:30]: Time: 1752830400000 | BB Width: 3.658% | Upper: 719.8166 | Lower: 693.9584 | Middle: 706.8875 | Threshold: 1 | Squeeze: NO
[2025-07-18T14:55:00.000+05:30]: Time: 1752830700000 | BB Width: 4.0857% | Upper: 722.415 | Lower: 693.49 | Middle: 707.9525 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:00:00.000+05:30]: Time: 1752831000000 | BB Width: 4.32% | Upper: 724.2353 | Lower: 693.6097 | Middle: 708.9225 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:05:00.000+05:30]: Time: 1752831300000 | BB Width: 4.3878% | Upper: 725.3416 | Lower: 694.1984 | Middle: 709.77 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:10:00.000+05:30]: Time: 1752831600000 | BB Width: 4.3435% | Upper: 725.8663 | Lower: 695.0087 | Middle: 710.4375 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:15:00.000+05:30]: Time: 1752831900000 | BB Width: 4.3077% | Upper: 726.5285 | Lower: 695.8915 | Middle: 711.21 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:20:00.000+05:30]: Time: 1752832200000 | BB Width: 4.2562% | Upper: 727.0908 | Lower: 696.7892 | Middle: 711.94 | Threshold: 1 | Squeeze: NO
[2025-07-18T15:25:00.000+05:30]: Time: 1752832500000 | BB Width: 4.146% | Upper: 727.0915 | Lower: 697.5585 | Middle: 712.325 | Threshold: 1 | Squeeze: NO
