[2025-07-23T14:55:00.000+05:30]: Time: 1753262700000 | BB Width Raw: 1.3446 | BB Width: 1.8861% | Upper: 71.9598 | Lower: 70.6152 | Middle: 71.2875 | Threshold: 1 | Squeeze: NO
[2025-07-23T15:00:00.000+05:30]: Time: 1753263000000 | BB Width Raw: 1.2795 | BB Width: 1.796% | Upper: 71.8843 | Lower: 70.6047 | Middle: 71.2445 | Threshold: 1 | Squeeze: NO
[2025-07-23T15:05:00.000+05:30]: Time: 1753263300000 | BB Width Raw: 1.2505 | BB Width: 1.7562% | Upper: 71.8287 | Lower: 70.5783 | Middle: 71.2035 | Threshold: 1 | Squeeze: NO
[2025-07-23T15:10:00.000+05:30]: Time: 1753263600000 | BB Width Raw: 1.2254 | BB Width: 1.7221% | Upper: 71.7682 | Lower: 70.5428 | Middle: 71.1555 | Threshold: 1 | Squeeze: NO
[2025-07-23T15:15:00.000+05:30]: Time: 1753263900000 | BB Width Raw: 1.1262 | BB Width: 1.5835% | Upper: 71.6826 | Lower: 70.5564 | Middle: 71.1195 | Threshold: 1 | Squeeze: NO
[2025-07-23T15:20:00.000+05:30]: Time: 1753264200000 | BB Width Raw: 1.1501 | BB Width: 1.6174% | Upper: 71.68 | Lower: 70.53 | Middle: 71.105 | Threshold: 1 | Squeeze: NO
[2025-07-23T15:25:00.000+05:30]: Time: 1753264500000 | BB Width Raw: 1.1443 | BB Width: 1.6097% | Upper: 71.6642 | Lower: 70.5198 | Middle: 71.092 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:20:00.000+05:30]: Time: 1753260600000 | BB Width Raw: 1.4951 | BB Width: 2.0844% | Upper: 72.4735 | Lower: 70.9785 | Middle: 71.726 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:25:00.000+05:30]: Time: 1753260900000 | BB Width Raw: 1.3941 | BB Width: 1.9458% | Upper: 72.343 | Lower: 70.949 | Middle: 71.646 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:30:00.000+05:30]: Time: 1753261200000 | BB Width Raw: 1.3902 | BB Width: 1.9428% | Upper: 72.2516 | Lower: 70.8614 | Middle: 71.5565 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:35:00.000+05:30]: Time: 1753261500000 | BB Width Raw: 1.4949 | BB Width: 2.0907% | Upper: 72.2479 | Lower: 70.7531 | Middle: 71.5005 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:40:00.000+05:30]: Time: 1753261800000 | BB Width Raw: 1.5142 | BB Width: 2.1197% | Upper: 72.1926 | Lower: 70.6784 | Middle: 71.4355 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:45:00.000+05:30]: Time: 1753262100000 | BB Width Raw: 1.4991 | BB Width: 2.1% | Upper: 72.1361 | Lower: 70.6369 | Middle: 71.3865 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:50:00.000+05:30]: Time: 1753262400000 | BB Width Raw: 1.4497 | BB Width: 2.0321% | Upper: 72.0643 | Lower: 70.6147 | Middle: 71.3395 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:45:00.000+05:30]: Time: 1753258500000 | BB Width Raw: 1.4143 | BB Width: 1.9655% | Upper: 72.6621 | Lower: 71.2479 | Middle: 71.955 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:50:00.000+05:30]: Time: 1753258800000 | BB Width Raw: 1.4907 | BB Width: 2.0726% | Upper: 72.6709 | Lower: 71.1801 | Middle: 71.9255 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:55:00.000+05:30]: Time: 1753259100000 | BB Width Raw: 1.5584 | BB Width: 2.1673% | Upper: 72.6832 | Lower: 71.1248 | Middle: 71.904 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:00:00.000+05:30]: Time: 1753259400000 | BB Width Raw: 1.608 | BB Width: 2.2376% | Upper: 72.6665 | Lower: 71.0585 | Middle: 71.8625 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:05:00.000+05:30]: Time: 1753259700000 | BB Width Raw: 1.5995 | BB Width: 2.2268% | Upper: 72.6318 | Lower: 71.0322 | Middle: 71.832 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:10:00.000+05:30]: Time: 1753260000000 | BB Width Raw: 1.6075 | BB Width: 2.2387% | Upper: 72.6067 | Lower: 70.9993 | Middle: 71.803 | Threshold: 1 | Squeeze: NO
[2025-07-23T14:15:00.000+05:30]: Time: 1753260300000 | BB Width Raw: 1.6055 | BB Width: 2.2369% | Upper: 72.5763 | Lower: 70.9707 | Middle: 71.7735 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:00:00.000+05:30]: Time: 1753255800000 | BB Width Raw: 0.9681 | BB Width: 1.3438% | Upper: 72.5235 | Lower: 71.5555 | Middle: 72.0395 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:05:00.000+05:30]: Time: 1753256100000 | BB Width Raw: 0.9642 | BB Width: 1.3384% | Upper: 72.5251 | Lower: 71.5609 | Middle: 72.043 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:10:00.000+05:30]: Time: 1753256400000 | BB Width Raw: 0.9762 | BB Width: 1.3551% | Upper: 72.5271 | Lower: 71.5509 | Middle: 72.039 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:15:00.000+05:30]: Time: 1753256700000 | BB Width Raw: 1.0207 | BB Width: 1.4173% | Upper: 72.5294 | Lower: 71.5086 | Middle: 72.019 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:25:00.000+05:30]: Time: 1753257300000 | BB Width Raw: 1.0342 | BB Width: 1.436% | Upper: 72.5331 | Lower: 71.4989 | Middle: 72.016 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:30:00.000+05:30]: Time: 1753257600000 | BB Width Raw: 1.0342 | BB Width: 1.436% | Upper: 72.5331 | Lower: 71.4989 | Middle: 72.016 | Threshold: 1 | Squeeze: NO
[2025-07-23T13:35:00.000+05:30]: Time: 1753257900000 | BB Width Raw: 1.2649 | BB Width: 1.7571% | Upper: 72.6194 | Lower: 71.3546 | Middle: 71.987 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:25:00.000+05:30]: Time: 1753253700000 | BB Width Raw: 0.6775 | BB Width: 0.9414% | Upper: 72.3007 | Lower: 71.6233 | Middle: 71.962 | Threshold: 1 | Squeeze: YES
[2025-07-23T12:30:00.000+05:30]: Time: 1753254000000 | BB Width Raw: 0.7624 | BB Width: 1.059% | Upper: 72.3797 | Lower: 71.6173 | Middle: 71.9985 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:35:00.000+05:30]: Time: 1753254300000 | BB Width Raw: 0.8758 | BB Width: 1.2157% | Upper: 72.4814 | Lower: 71.6056 | Middle: 72.0435 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:40:00.000+05:30]: Time: 1753254600000 | BB Width Raw: 0.9617 | BB Width: 1.3345% | Upper: 72.5443 | Lower: 71.5827 | Middle: 72.0635 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:45:00.000+05:30]: Time: 1753254900000 | BB Width Raw: 0.9666 | BB Width: 1.3413% | Upper: 72.5443 | Lower: 71.5777 | Middle: 72.061 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:50:00.000+05:30]: Time: 1753255200000 | BB Width Raw: 0.9635 | BB Width: 1.3372% | Upper: 72.5398 | Lower: 71.5762 | Middle: 72.058 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:55:00.000+05:30]: Time: 1753255500000 | BB Width Raw: 0.9629 | BB Width: 1.3365% | Upper: 72.5269 | Lower: 71.5641 | Middle: 72.0455 | Threshold: 1 | Squeeze: NO
