
=== 1st Entry: Top Performing Stocks (min 5 trades) ===
          name direction    trend  total_trades  winning_trades  avg_pnl  win_rate  total_pnl
0   JAICORPLTD     SHORT  BEARISH            43            23.0  1726.22     53.49   74227.54
1       APOLLO      LONG  BULLISH             8             5.0  1835.21     62.50   14681.70
2        KITEX     SHORT  BULLISH             5             4.0  2739.43     80.00   13697.17
3      RAILTEL      LONG  BULLISH             5             3.0  2737.35     60.00   13686.76
4       FUSION      LONG  BULLISH             7             4.0  1836.45     57.14   12855.16
5      APTECHT     SHORT  BEARISH            15            10.0   149.30     66.67    2239.45
6      NIFTY50     SHORT  BEARISH            28            15.0    51.44     53.57    1440.44
7   SANGHVIMOV      LONG  BULLISH             7             5.0   194.96     71.43    1364.72
8   UMAEXPORTS      LONG  BEARISH             5             3.0   258.67     60.00    1293.36
9   SHAREINDIA     SHORT  BEARISH            17             9.0    68.19     52.94    1159.23
10     TFCILTD     SHORT  BEARISH            11             7.0    80.11     63.64     881.21
11  JISLJALEQS      LONG  BEARISH             6             4.0   123.20     66.67     739.17
12  TRITURBINE     SHORT  BEARISH             8             5.0    91.77     62.50     734.18
13     CARRARO     SHORT  BEARISH            11             6.0    59.68     54.55     656.48
14        FACT      LONG  BULLISH             5             3.0    25.01     60.00     125.04
15  ASIANPAINT     SHORT  BEARISH             9             5.0    13.23     55.56     119.11
16  QUADFUTURE      LONG  BEARISH             7             4.0   -10.73     57.14     -75.14

=== 2:30 Entry: Top Performing Stocks (min 5 trades) ===
           name direction    trend  total_trades  winning_trades  avg_pnl  win_rate  total_pnl
0    KALAMANDIR     SHORT  BEARISH            27            15.0    86.00     55.56    2322.10
1        JTLIND     SHORT  BEARISH            21            11.0   108.78     52.38    2284.43
2    SWANENERGY     SHORT  BEARISH            38            23.0    59.36     60.53    2255.58
3    JAICORPLTD     SHORT  BEARISH            40            25.0    49.19     62.50    1967.48
4      FIRSTCRY      LONG  BEARISH            22            13.0    87.96     59.09    1935.16
5        TVSSCS     SHORT  BEARISH            35            23.0    49.07     65.71    1717.49
6      PARADEEP      LONG  BEARISH            10             6.0   109.50     60.00    1095.04
7      SURYODAY     SHORT  BULLISH             9             8.0   119.34     88.89    1074.08
8         EMBDL     SHORT  BEARISH            23            14.0    45.49     60.87    1046.28
9      PARADEEP     SHORT  BEARISH            19            12.0    49.21     63.16     935.05
10         FACT      LONG  BULLISH             5             5.0   182.20    100.00     911.00
11      STLTECH     SHORT  BEARISH            22            13.0    41.35     59.09     909.77
