instrument_key,symbol,analysis_date,lookback_days,total_days_analyzed,data_type,lowest_bb_date,lowest_p10_bb_width,lowest_mean_bb_width,lowest_min_bb_width,lowest_max_bb_width,lowest_day_data_points
NSE_EQ|INE188A01015,FACT,2025-07-06T00:34:38.507502,20,26,intraday_5min,2025-05-29,2.21,5.08,1.57,12.65,75
NSE_EQ|INE070D01027,JAICORPLTD,2025-07-06T00:34:38.561134,20,29,intraday_5min,2025-07-01,0.28,0.91,0.24,2.47,75
NSE_EQ|INE133E01013,TI,2025-07-06T00:34:38.660088,20,26,intraday_5min,2025-07-01,1.06,2.67,0.89,5.43,75
NSE_EQ|INE278M01019,NAVKARCORP,2025-07-06T00:34:38.809520,20,26,intraday_5min,2025-06-23,0.39,0.96,0.33,1.95,75
NSE_EQ|INE0JS101016,DREAMFOLKS,2025-07-06T00:34:38.891784,20,27,intraday_5min,2025-07-01,0.91,2.78,0.77,5.73,75
NSE_EQ|INE932X01026,SHAREINDIA,2025-07-06T00:34:38.980698,20,26,intraday_5min,2025-05-28,0.62,1.66,0.56,4.60,75
NSE_EQ|INE711A01022,WALCHANNAG,2025-07-06T00:34:39.086981,20,19,intraday_5min,2025-06-09,1.44,6.26,1.40,19.81,75
NSE_EQ|INE088F01024,PARADEEP,2025-07-06T00:34:39.156761,20,26,intraday_5min,2025-06-30,0.02,2.58,0.02,6.20,75
NSE_EQ|INE224A01026,GREAVESCOT,2025-07-06T00:34:39.226612,20,26,intraday_5min,2025-06-23,0.40,1.69,0.24,4.60,75
NSE_EQ|INE069I01010,EMBDL,2025-07-06T00:34:39.302738,20,26,intraday_5min,2025-06-16,0.25,2.61,0.19,5.40,75
NSE_EQ|INE074B01023,PARACABLES,2025-07-06T00:34:39.377416,20,26,intraday_5min,2025-06-09,0.14,0.63,0.13,1.83,75
NSE_EQ|INE011E01029,BALUFORGE,2025-07-06T00:34:39.461945,20,26,intraday_5min,2025-06-04,3.41,9.50,2.41,16.79,75
NSE_EQ|INE395N01027,TVSSCS,2025-07-06T00:34:39.543696,20,28,intraday_5min,2025-06-02,0.32,2.66,0.22,8.40,75
NSE_EQ|INE332A01027,THOMASCOOK,2025-07-06T00:34:39.619931,20,24,intraday_5min,2025-06-06,0.43,2.78,0.34,10.45,75
NSE_EQ|INE02RE01045,FIRSTCRY,2025-07-06T00:34:39.700178,20,26,intraday_5min,2025-06-23,0.49,3.68,0.41,7.52,75
NSE_EQ|INE391J01032,JTLIND,2025-07-06T00:34:39.772251,20,28,intraday_5min,2025-06-03,0.22,0.59,0.19,1.32,75
NSE_EQ|INE0HLU01028,MOBIKWIK,2025-07-06T00:34:39.837404,20,26,intraday_5min,2025-06-24,0.48,4.61,0.43,9.41,75
NSE_EQ|INE242C01024,ANANTRAJ,2025-07-06T00:34:39.913096,20,26,intraday_5min,2025-06-10,1.81,6.03,0.82,11.48,75
NSE_EQ|INE483B01026,ICIL,2025-07-06T00:34:40.045655,20,26,intraday_5min,2025-06-19,0.56,3.17,0.46,7.40,75
NSE_EQ|INE503A01015,DCBBANK,2025-07-06T00:34:40.146834,20,27,intraday_5min,2025-05-27,0.13,0.44,0.10,1.41,56
NSE_EQ|INE510A01028,ENGINERSIN,2025-07-06T00:34:40.223867,20,26,intraday_5min,2025-05-29,0.56,3.56,0.50,21.97,75
NSE_EQ|INE027A01015,RCF,2025-07-06T00:34:40.295551,20,26,intraday_5min,2025-06-10,0.34,0.85,0.31,1.67,75
NSE_EQ|INE419M01027,TDPOWERSYS,2025-07-06T00:34:40.360879,20,26,intraday_5min,2025-06-20,1.46,6.91,1.31,12.61,75
NSE_EQ|INE511C01022,POONAWALLA,2025-07-06T00:34:40.427808,20,27,intraday_5min,2025-06-17,1.32,2.98,0.69,5.52,75
NSE_EQ|INE0JO301016,YATHARTH,2025-07-06T00:34:40.504886,20,26,intraday_5min,2025-06-02,0.83,7.07,0.75,23.06,75
NSE_EQ|INE192H01020,GRMOVER,2025-07-06T00:34:40.581589,20,26,intraday_5min,2025-06-26,1.05,2.77,0.75,7.14,75
NSE_EQ|INE879I01012,DBREALTY,2025-07-06T00:34:40.647908,20,26,intraday_5min,2025-05-29,0.92,1.47,0.76,2.54,75
NSE_EQ|INE0LCL01028,AVALON,2025-07-06T00:34:40.712818,20,26,intraday_5min,2025-06-24,2.52,20.62,2.22,45.41,75
NSE_EQ|INE871C01038,AVANTIFEED,2025-07-06T00:34:40.776174,20,26,intraday_5min,2025-06-17,1.60,5.46,1.47,14.17,75
NSE_EQ|INE07RO01027,SUPRIYA,2025-07-06T00:34:40.842375,20,26,intraday_5min,2025-06-02,1.56,7.28,1.31,17.60,75
NSE_EQ|INE602G01020,KITEX,2025-07-06T00:34:40.907230,20,19,intraday_5min,2025-07-01,0.97,1.87,0.73,6.10,75
NSE_EQ|INE02YR01019,EMIL,2025-07-06T00:34:41.012961,20,26,intraday_5min,2025-05-27,0.53,1.49,0.44,3.26,56
NSE_EQ|INE510W01014,INOXGREEN,2025-07-06T00:34:41.086729,20,26,intraday_5min,2025-07-01,0.50,2.10,0.44,3.80,75
NSE_EQ|INE287C01037,MICEL,2025-07-06T00:34:41.178988,20,26,intraday_5min,2025-06-02,0.11,1.80,0.06,4.45,75
NSE_EQ|INE142A01012,OSWALAGRO,2025-07-06T00:34:41.248803,20,24,intraday_5min,2025-06-30,0.38,1.55,0.35,4.94,75
NSE_EQ|INE839M01018,SCHNEIDER,2025-07-06T00:34:41.334904,20,27,intraday_5min,2025-06-26,2.86,7.66,1.45,13.11,75
NSE_EQ|INE760L01018,TBZ,2025-07-06T00:34:41.407706,20,26,intraday_5min,2025-06-24,0.65,3.02,0.58,8.25,75
NSE_EQ|INE274G01010,DHANI,2025-07-06T00:34:41.480979,20,26,intraday_5min,2025-05-29,0.23,0.70,0.19,1.56,75
NSE_EQ|INE175A01038,JISLJALEQS,2025-07-06T00:34:41.550785,20,26,intraday_5min,2025-05-29,0.18,0.39,0.16,0.76,75
NSE_EQ|INE106T01025,HITECH,2025-07-06T00:34:41.684412,20,26,intraday_5min,2025-05-30,0.13,0.81,0.10,1.82,75
NSE_EQ|INE080I01025,LLOYDSENT,2025-07-06T00:34:41.749198,20,26,intraday_5min,2025-06-18,0.22,0.82,0.10,1.94,75
NSE_EQ|INE089C01029,STLTECH,2025-07-06T00:34:41.840718,20,26,intraday_5min,2025-05-29,0.19,0.47,0.18,1.11,75
NSE_EQ|INE438K01021,KALAMANDIR,2025-07-06T00:34:41.919720,20,28,intraday_5min,2025-05-29,0.13,0.37,0.09,1.20,75
NSE_EQ|INE021A01026,ASIANPAINT,2025-07-06T00:34:41.989741,20,26,intraday_5min,2025-06-10,2.99,12.84,2.47,41.30,75
NSE_EQ|INE08NE01025,SANSTAR,2025-07-06T00:34:42.075145,20,26,intraday_5min,2025-06-25,0.14,0.58,0.14,2.04,75
NSE_EQ|INE863B01029,PREMEXPLN,2025-07-06T00:34:42.155318,20,26,intraday_5min,2025-05-29,2.39,8.36,1.94,13.35,75
NSE_EQ|INE148I01020,SAMMAANCAP,2025-07-06T00:34:42.226196,20,26,intraday_5min,2025-06-06,0.36,2.15,0.27,5.66,75
NSE_EQ|INE614G01033,RPOWER,2025-07-06T00:34:42.325389,20,26,intraday_5min,2025-06-17,0.00,1.36,0.00,3.87,75
NSE_EQ|INE495B01038,SUVEN,2025-07-06T00:34:42.391094,20,19,intraday_5min,2025-05-30,1.10,5.76,0.65,19.25,75
NSE_EQ|INE052I01032,CAMLINFINE,2025-07-06T00:34:42.456958,20,19,intraday_5min,2025-05-29,1.36,3.83,1.05,9.87,75
NSE_EQ|INE024001021,AEROFLEX,2025-07-06T00:34:42.522755,20,26,intraday_5min,2025-05-28,0.30,1.10,0.25,2.84,75
NSE_EQ|INE036A01016,RELINFRA,2025-07-06T00:34:42.581221,20,19,intraday_5min,2025-06-09,1.52,9.68,0.00,21.05,75
NSE_EQ|INE0DD101019,RAILTEL,2025-07-06T00:34:42.661647,20,26,intraday_5min,2025-06-30,1.18,3.26,0.98,8.52,75
NSE_EQ|INE509F01029,CUPID,2025-07-06T00:34:42.735590,20,26,intraday_5min,2025-05-28,0.15,2.59,0.09,4.27,75
NSE_EQ|INE713T01028,APOLLO,2025-07-06T00:34:42.785422,20,26,intraday_5min,2025-06-23,0.00,8.56,0.00,28.19,75
NSE_EQ|INE989A01032,SANGHVIMOV,2025-07-06T00:34:42.862578,20,26,intraday_5min,2025-06-25,1.01,3.30,0.90,10.44,75
NSE_EQ|INE428Q01011,SURYODAY,2025-07-06T00:34:42.969862,20,26,intraday_5min,2025-07-01,0.47,0.97,0.41,1.53,75
NSE_EQ|INE850M01015,NORTHARC,2025-07-06T00:34:43.044728,20,26,intraday_5min,2025-06-04,0.83,2.54,0.74,6.65,75
NSE_EQ|INE676A01027,BBOX,2025-07-06T00:34:43.131969,20,26,intraday_5min,2025-06-30,0.00,9.02,0.00,41.23,75
NSE_EQ|INE07T201019,RBA,2025-07-06T00:34:43.203607,20,26,intraday_5min,2025-05-30,0.09,0.36,0.06,0.92,75
NSE_EQ|INE110B01017,MINDTECK,2025-07-06T00:34:43.284054,20,26,intraday_5min,2025-06-25,1.17,2.55,1.12,6.55,75
NSE_EQ|INE0JVO01026,GARUDA,2025-07-06T00:34:43.342490,20,26,intraday_5min,2025-05-27,0.54,2.38,0.26,5.87,56
NSE_EQ|INE389H01022,KEC,2025-07-06T00:34:43.413558,20,27,intraday_5min,2025-06-26,2.07,9.22,1.96,16.69,75
NSE_EQ|INE508G01029,TIMETECHNO,2025-07-06T00:34:43.474348,20,27,intraday_5min,2025-06-04,1.47,3.98,1.41,8.73,75
NSE_EQ|INE949L01017,AUBANK,2025-07-06T00:34:43.551962,20,26,intraday_5min,2025-06-03,2.30,7.79,1.73,14.71,75
NSE_EQ|INE092T01019,IDFCFIRSTB,2025-07-06T00:34:43.631148,20,27,intraday_5min,2025-07-02,0.16,0.31,0.15,0.47,75
NSE_EQ|INE0LLY01014,EIEL,2025-07-06T00:34:43.733218,20,26,intraday_5min,2025-06-06,0.66,2.07,0.56,5.16,75
NSE_EQ|INE247D01039,JINDWORLD,2025-07-06T00:34:43.808083,20,26,intraday_5min,2025-05-29,0.13,0.40,0.10,0.84,75
NSE_EQ|INE884A01027,VAIBHAVGBL,2025-07-06T00:34:43.879155,20,26,intraday_5min,2025-06-26,0.72,1.58,0.62,3.26,75
NSE_EQ|INE0KBH01020,BLUEJET,2025-07-06T00:34:43.946822,20,26,intraday_5min,2025-06-24,1.36,12.33,1.26,41.00,75
NSE_EQ|INE255A01020,EPL,2025-07-06T00:34:44.019785,20,26,intraday_5min,2025-05-29,0.54,2.78,0.44,6.07,75
NSE_EQ|INE442H01029,ASHOKA,2025-07-06T00:34:44.090326,20,26,intraday_5min,2025-06-10,0.53,1.33,0.46,2.08,75
NSE_EQ|INE086A01029,ELECTCAST,2025-07-06T00:34:44.149334,20,26,intraday_5min,2025-05-29,0.38,0.95,0.32,1.97,75
NSE_EQ|INE0LRY01011,QUADFUTURE,2025-07-06T00:34:44.224477,20,27,intraday_5min,2025-06-27,1.42,6.20,1.27,13.18,75
NSE_EQ|INE01EA01019,VMM,2025-07-06T00:34:44.340342,20,26,intraday_5min,2025-05-27,0.15,0.44,0.13,0.87,56
NSE_EQ|INE439A01020,ASAHIINDIA,2025-07-06T00:34:44.411849,20,26,intraday_5min,2025-06-13,1.95,8.58,1.74,27.05,75
NSE_EQ|INE953L01027,JSFB,2025-07-06T00:34:44.479967,20,26,intraday_5min,2025-06-26,0.97,4.42,0.91,8.85,75
NSE_EQ|INE930P01018,ANURAS,2025-07-06T00:34:44.542526,20,26,intraday_5min,2025-06-23,2.56,8.08,2.01,17.00,75
NSE_EQ|INE614B01018,KTKBANK,2025-07-06T00:34:44.599534,20,26,intraday_5min,2025-06-17,0.38,1.69,0.35,3.74,75
NSE_EQ|INE859A01011,PNBGILTS,2025-07-06T00:34:44.675422,20,26,intraday_5min,2025-05-28,0.30,0.55,0.25,0.99,75
NSE_EQ|INE335A01020,SURYAROSNI,2025-07-06T00:34:44.752976,20,26,intraday_5min,2025-06-30,1.08,3.73,0.93,8.35,75
NSE_EQ|INE036B01030,GAEL,2025-07-06T00:34:44.819621,20,26,intraday_5min,2025-05-27,0.32,0.72,0.26,1.41,56
NSE_EQ|INE034A01011,ARVIND,2025-07-06T00:34:44.887714,20,26,intraday_5min,2025-05-29,0.87,2.40,0.77,4.59,75
NSE_EQ|INE480C01038,SDBL,2025-07-06T00:34:44.969864,20,26,intraday_5min,2025-06-06,0.53,1.75,0.43,4.00,75
NSE_EQ|INE634I01029,KNRCON,2025-07-06T00:34:45.034385,20,26,intraday_5min,2025-07-01,0.48,2.15,0.37,6.72,75
NSE_EQ|INE0QRL01017,ARKADE,2025-07-06T00:34:45.148551,20,26,intraday_5min,2025-06-03,0.65,1.66,0.61,2.77,75
NSE_EQ|INE475B01022,HIKAL,2025-07-06T00:34:45.218424,20,26,intraday_5min,2025-05-27,0.87,2.44,0.74,4.32,56
NSE_EQ|INE269A01021,SONATSOFTW,2025-07-06T00:34:45.283832,20,26,intraday_5min,2025-06-05,0.59,3.44,0.54,8.23,75
NSE_EQ|INE124G01033,DELTACORP,2025-07-06T00:34:45.353343,20,26,intraday_5min,2025-05-28,0.17,0.49,0.15,1.20,75
NSE_EQ|INE139A01034,NATIONALUM,2025-07-06T00:34:45.427311,20,26,intraday_5min,2025-06-30,0.33,2.39,0.17,6.23,75
NSE_EQ|INE0M4D01010,SGLTL,2025-07-06T00:34:45.498832,20,26,intraday_5min,2025-05-28,0.67,2.57,0.60,5.36,75
NSE_EQ|INE376G01013,BIOCON,2025-07-06T00:34:45.559381,20,26,intraday_5min,2025-05-27,0.82,1.76,0.56,4.23,56
NSE_EQ|INE091G01026,JAIBALAJI,2025-07-06T00:34:45.623889,20,26,intraday_5min,2025-06-06,0.33,1.55,0.26,3.53,75
NSE_EQ|INE079J01017,GATEWAY,2025-07-06T00:34:45.681539,20,26,intraday_5min,2025-06-26,0.18,0.52,0.16,1.30,75
NSE_EQ|INE398R01022,SYNGENE,2025-07-06T00:34:45.742350,20,26,intraday_5min,2025-05-28,0.90,3.72,0.21,8.53,75
NSE_EQ|INE285A01027,ELGIEQUIP,2025-07-06T00:34:45.804400,20,26,intraday_5min,2025-06-04,1.34,4.81,1.19,10.20,75
NSE_EQ|INE142M01025,TATATECH,2025-07-06T00:34:45.874639,20,26,intraday_5min,2025-06-26,1.71,4.22,1.46,7.92,75
NSE_EQ|INE164B01022,KELLTONTEC,2025-07-06T00:34:45.940425,20,26,intraday_5min,2025-06-06,0.41,1.20,0.36,2.10,75
NSE_EQ|INE517F01014,GPPL,2025-07-06T00:34:46.008387,20,26,intraday_5min,2025-06-18,0.41,1.06,0.39,1.67,75
NSE_EQ|INE00H001014,SWIGGY,2025-07-06T00:34:46.086787,20,27,intraday_5min,2025-05-29,0.82,3.74,0.59,10.06,75
NSE_EQ|INE172A01027,CASTROLIND,2025-07-06T00:34:46.175254,20,26,intraday_5min,2025-06-25,0.47,1.56,0.45,4.61,75
NSE_EQ|INE532F01054,EDELWEISS,2025-07-06T00:34:46.238550,20,22,intraday_5min,2025-06-04,0.29,1.02,0.28,3.26,75
NSE_EQ|INE032A01023,BOMDYEING,2025-07-06T00:34:46.335051,20,26,intraday_5min,2025-06-20,0.41,1.71,0.34,3.30,75
NSE_EQ|INE093R01011,LLOYDSENGG,2025-07-06T00:34:46.407352,20,26,intraday_5min,2025-06-25,0.23,0.81,0.22,2.41,75
NSE_EQ|INE548A01028,HFCL,2025-07-06T00:34:46.488710,20,26,intraday_5min,2025-06-27,0.36,0.82,0.34,1.30,75
NSE_EQ|INE918I01026,BAJAJFINSV,2025-07-06T00:34:46.558863,20,26,intraday_5min,2025-07-01,4.26,12.70,3.33,28.00,75
NSE_EQ|INE012A01025,ACC,2025-07-06T00:34:46.627872,20,26,intraday_5min,2025-06-23,1.30,7.30,1.16,12.62,75
NSE_EQ|INE989C01038,DIACABS,2025-07-06T00:34:46.694272,20,26,intraday_5min,2025-06-18,0.46,1.14,0.41,2.29,75
NSE_EQ|INE978A01027,HERITGFOOD,2025-07-06T00:34:46.755443,20,26,intraday_5min,2025-06-25,1.18,8.98,0.87,21.01,75
NSE_EQ|INE349Y01013,IDEAFORGE,2025-07-06T00:34:46.830205,20,26,intraday_5min,2025-07-01,2.25,6.08,1.90,12.66,75
NSE_EQ|INE054A01027,VIPIND,2025-07-06T00:34:46.905891,20,26,intraday_5min,2025-06-30,0.96,4.14,0.92,17.34,75
NSE_EQ|INE780C01023,JMFINANCIL,2025-07-06T00:34:46.978274,20,26,intraday_5min,2025-05-27,0.23,0.86,0.19,3.11,56
NSE_EQ|INE807F01027,SEQUENT,2025-07-06T00:34:47.056640,20,26,intraday_5min,2025-05-27,0.60,3.52,0.57,8.95,56
NSE_EQ|INE689W01016,PRINCEPIPE,2025-07-06T00:34:47.118803,20,26,intraday_5min,2025-06-05,0.97,3.17,0.93,6.10,75
NSE_EQ|INE039A01010,IFCI,2025-07-06T00:34:47.189958,20,26,intraday_5min,2025-06-26,0.17,0.51,0.14,1.09,75
NSE_EQ|INE005B01027,AVANTEL,2025-07-06T00:34:47.267293,20,26,intraday_5min,2025-06-30,0.56,2.16,0.49,5.07,75
