symbol,instrument_key,latest_date,latest_close,latest_bb_width,10_percentile_threshold
GROWWLIQID,NSE_EQ|INF666M01IP5,2025-06-20T00:00:00.000000,104.54,0.004413697776206131,0.0047254376775371166
HEUBACHIND,NSE_EQ|INE492A01029,2025-06-20T00:00:00.000000,586.15,0.007360125672054044,0.007415831449365312
GSEC10YEAR,NSE_EQ|INF769K01KF8,2025-06-20T00:00:00.000000,29.1,0.012462988972228547,0.011961752309083428
MOGSEC,NSE_EQ|INF247L01AK4,2025-06-20T00:00:00.000000,61.61,0.015737460071999092,0.014933469995576485
OBCL,NSE_EQ|INE426Z01016,2025-06-20T00:00:00.000000,55.01,0.016393224547709778,0.024163560185549618
LOWVOL1,NSE_EQ|INF174KA1IY5,2025-06-20T00:00:00.000000,20.58,0.020231906876895273,0.02166768043238371
MOLOWVOL,NSE_EQ|INF247L01BL0,2025-06-20T00:00:00.000000,37.39,0.021961919526051404,0.023887897632302615
HDFCLOWVOL,NSE_EQ|INF179KC1HU8,2025-06-20T00:00:00.000000,20.14,0.023581162876437026,0.025917226042567115
HDFCSENSEX,NSE_EQ|INF179KC1HX2,2025-06-20T00:00:00.000000,92.08,0.023772590717616834,0.025901823445817523
PANAMAPET,NSE_EQ|INE305C01029,2025-06-20T00:00:00.000000,362.45,0.02400187908388682,0.10274602290790014
HDFCQUAL,NSE_EQ|INF179KC1DL6,2025-06-20T00:00:00.000000,57.55,0.024468227133610937,0.031155892479242848
TOP100CASE,NSE_EQ|INF0R8F01067,2025-06-20T00:00:00.000000,10.6,0.024745771518086046,0.028148472007296567
LOWVOL,NSE_EQ|INF769K01JU9,2025-06-20T00:00:00.000000,201.96,0.024796024055691597,0.02735766173079134
TOP10ADD,NSE_EQ|INF740KA1UR9,2025-06-20T00:00:00.000000,99.16,0.024994752974740558,0.02513681460429567
NV20,NSE_EQ|INF174K01Z71,2025-06-20T00:00:00.000000,149.37,0.02535866899508909,0.02919047777383793
MOM50,NSE_EQ|INF247L01536,2025-06-20T00:00:00.000000,258.06,0.0257964367895907,0.027887185404308807
SENSEXADD,NSE_EQ|INF740KA1SZ6,2025-06-20T00:00:00.000000,83.56,0.02596104122658223,0.027846145063431204
AXSENSEX,NSE_EQ|INF846K010Q0,2025-06-20T00:00:00.000000,84.14,0.026362135131888426,0.028422721877810968
MASPTOP50,NSE_EQ|INF769K01HP3,2025-06-20T00:00:00.000000,54.26,0.026921903475410455,0.04322394005820792
DICIND,NSE_EQ|INE303A01010,2025-06-20T00:00:00.000000,649.95,0.027326056600448987,0.0328015135461992
ESG,NSE_EQ|INF769K01GS9,2025-06-20T00:00:00.000000,42.41,0.027614361883356142,0.029936342873787516
MNC,NSE_EQ|INF174KA1JF2,2025-06-20T00:00:00.000000,28.63,0.028374327908396422,0.03626084973990415
MONQ50,NSE_EQ|INF247L01AU3,2025-06-20T00:00:00.000000,73.45,0.028979085764104393,0.037757509362012304
MAKEINDIA,NSE_EQ|INF769K01IB1,2025-06-20T00:00:00.000000,143.56,0.029937542410146675,0.04586770229393758
PVTBANKADD,NSE_EQ|INF740KA1TA7,2025-06-20T00:00:00.000000,28.13,0.029992523576059752,0.03168784445546594
EQUAL50ADD,NSE_EQ|INF740KA1QK2,2025-06-20T00:00:00.000000,323.62,0.030191826804261114,0.03196788732033096
MAFANG,NSE_EQ|INF769K01HF4,2025-06-20T00:00:00.000000,135.42,0.03021219121271842,0.07735004310290254
HDFCVALUE,NSE_EQ|INF179KC1DK8,2025-06-20T00:00:00.000000,135.05,0.030499290907205674,0.031044645282344515
HDFCGROWTH,NSE_EQ|INF179KC1DJ0,2025-06-20T00:00:00.000000,118.43,0.03068712029811408,0.03388433710563992
HDFCNIF100,NSE_EQ|INF179KC1HR4,2025-06-20T00:00:00.000000,26.22,0.030759954403113,0.03435652805979677
MOQUALITY,NSE_EQ|INF247L01BH8,2025-06-20T00:00:00.000000,193.72,0.030973217095513737,0.04739769363329235
LT,NSE_EQ|INE018A01030,2025-06-20T00:00:00.000000,3662.0,0.031044819047847907,0.0442250478074022
BFSI,NSE_EQ|INF769K01HI8,2025-06-20T00:00:00.000000,27.34,0.031479500549551995,0.03195700599885312
HDFCPVTBAN,NSE_EQ|INF179KC1HZ7,2025-06-20T00:00:00.000000,28.2,0.031736722691101324,0.03420669960768718
ICICIB22,NSE_EQ|INF109KB15Y7,2025-06-20T00:00:00.000000,109.53,0.031811314865819264,0.031811314865819264
CONS,NSE_EQ|INF174KA1JE5,2025-06-20T00:00:00.000000,118.31,0.03184930639853964,0.036792494702399384
HDFCNIFBAN,NSE_EQ|INF179KC1HY0,2025-06-20T00:00:00.000000,57.3,0.03304162496266939,0.03874940288730062
VENKEYS,NSE_EQ|INE398A01010,2025-06-20T00:00:00.000000,1608.8,0.033057753962122446,0.034764337667062745
OSWALSEEDS,NSE_EQ|INE00IK01029,2025-06-20T00:00:00.000000,14.06,0.03319064884447439,0.06878512605066403
