symbol,instrument_key,latest_date,latest_close,latest_bb_width,10_percentile_threshold,avg_bb_width_lookback,squeeze_ratio,volume_ratio,breakout_readiness,breakdown_readiness,squeeze_rank,volume_rank,readiness_rank,composite_rank
VIJAYA,NSE_EQ|INE043W01024,2025-06-20T00:00:00.000000,930.25,0.04692506976392828,0.108207666140206,0.22538519074171504,0.20819943674872174,0.18978646250827347,-0.05440873478247124,1.0544087347824713,5,11,24,40
HESTERBIO,NSE_EQ|INE782E01017,2025-06-20T00:00:00.000000,1748.9,0.07633774209423207,0.07824284992461446,0.25790886683452235,0.29598727267958314,0.26500161942728284,-0.03570562942587347,1.0357056294258735,32,23,33,88
CARRARO,NSE_EQ|INE0V7W01012,2025-06-20T00:00:00.000000,405.75,0.13245882901702688,0.13245882901702688,0.3601874430428718,0.36774971358804637,0.27713721751669074,-0.16781730509986,1.16781730509986,84,27,4,115
MPSLTD,NSE_EQ|INE943D01017,2025-06-20T00:00:00.000000,2548.7,0.066993878870095,0.12820396629096759,0.28213350639819135,0.23745452897587663,0.38393662200166423,-0.02140005444495538,1.0214000544449553,11,80,45,136
VAKRANGEE,NSE_EQ|INE051B01021,2025-06-20T00:00:00.000000,9.32,0.1260041829544755,0.172696435994734,0.39247089645000727,0.3210535713455783,0.182398018312538,0.03995692093047706,0.9600430790695229,51,10,82,143
LOTUSEYE,NSE_EQ|INE947I01017,2025-06-20T00:00:00.000000,70.02,0.059885090596908164,0.08235666723590125,0.18142054931813933,0.330089897875315,0.23793034652791875,0.04620215197352708,0.9537978480264729,53,18,86,157
SONATSOFTW,NSE_EQ|INE269A01021,2025-06-20T00:00:00.000000,397.9,0.0786305644809748,0.10203357448591513,0.26287738306219477,0.2991149849600086,0.19589807575809615,0.08842967452239467,0.9115703254776053,35,12,127,174
GSS,NSE_EQ|INE871H01011,2025-06-20T00:00:00.000000,33.98,0.0967191451304236,0.1397724200778749,0.2584386212038682,0.37424416165000013,0.24473815573111776,0.03921959277144389,0.9607804072285561,91,21,79,191
GUJALKALI,NSE_EQ|INE186A01019,2025-06-20T00:00:00.000000,570.2,0.06239378766075769,0.11058972081569311,0.19684935451026228,0.3169621145875027,0.3872887117492888,0.018324786757614526,0.9816752132423855,47,81,67,195
HIKAL,NSE_EQ|INE475B01022,2025-06-20T00:00:00.000000,359.45,0.06078439226857647,0.12217106481549131,0.1536916776692004,0.3954956650249227,0.39137608130474966,-0.10624061762621202,1.106240617626212,111,87,11,209
