symbol,instrument_key,latest_date,latest_close,latest_bb_width,10_percentile_threshold,avg_bb_width_lookback,squeeze_ratio,volume_ratio,breakout_readiness,breakdown_readiness,squeeze_rank,volume_rank,readiness_rank,composite_rank
TOP10ADD,NSE_EQ|INF740KA1UR9,2025-06-20T00:00:00.000000,99.16,0.024994752974740558,0.02513681460429567,0.05929124648956912,0.4215589054808923,0.22347659087580005,0.9234415524364566,0.07655844756354335,13,3,2,18
CONS,NSE_EQ|INF174KA1JE5,2025-06-20T00:00:00.000000,118.31,0.03184930639853964,0.036792494702399384,0.07678919940381303,0.4147628396417184,0.3563164024554605,0.816987616880272,0.183012383119728,11,5,7,23
IRISDOREME,NSE_EQ|INE01GN01025,2025-06-20T00:00:00.000000,61.48,0.0693275129713549,0.07735110204831935,0.2088622827744682,0.33192930791729164,0.6605821011966215,0.9587400418411912,0.041259958158808785,4,18,1,23
HDFCSENSEX,NSE_EQ|INF179KC1HX2,2025-06-20T00:00:00.000000,92.08,0.023772590717616834,0.025901823445817523,0.06053384132731401,0.3927157139933592,0.5052974693105633,0.8233929464228583,0.17660705357714168,7,12,6,25
PARAS,NSE_EQ|INE045601015,2025-06-20T00:00:00.000000,1654.2,0.07184596055699602,0.13942591141608232,0.26475672247953524,0.27136595393739044,0.4871111083910389,0.7477975158075941,0.2522024841924059,1,10,16,27
MOM50,NSE_EQ|INF247L01536,2025-06-20T00:00:00.000000,258.06,0.0257964367895907,0.027887185404308807,0.06373630796255382,0.4047369170606266,0.42356614954820687,0.761858018922137,0.238141981077863,9,7,13,29
PVTBANKADD,NSE_EQ|INF740KA1TA7,2025-06-20T00:00:00.000000,28.13,0.029992523576059752,0.03168784445546594,0.06852826505228515,0.4376664658469946,0.33626273142283297,0.8140640949933403,0.18593590500665969,17,4,8,29
DRCSYSTEMS,NSE_EQ|INE03RS01027,2025-06-20T00:00:00.000000,19.45,0.10413916309153987,0.16511064652376112,0.306124241963908,0.3401859402687157,0.5512999234633453,0.7883354112792132,0.21166458872078675,5,14,10,29
AXSENSEX,NSE_EQ|INF846K010Q0,2025-06-20T00:00:00.000000,84.14,0.026362135131888426,0.028422721877810968,0.06172005505115576,0.4271242971192841,0.46713398177833326,0.7797620782790435,0.22023792172095646,14,9,11,34
SBILIFE,NSE_EQ|INE123W01016,2025-06-20T00:00:00.000000,1810.9,0.03845080149429873,0.04503798911647956,0.1062654956559467,0.3618371255594571,0.5981239061140219,0.7663047573567986,0.2336952426432014,6,16,12,34
