instrument_key,symbol,latest_date,latest_close,latest_bb_width,10_percentile_threshold,avg_bb_width_lookback,squeeze_ratio,volume_ratio,breakout_readiness,breakdown_readiness,percentile_rank
NSE_EQ|INF666M01IP5,GROWWLIQID,2025-06-20T00:00:00.000000,104.54,0.004413697776206131,0.0047673153238691505,0.005623837448789718,0.7848195856293791,0.46538728087741066,0.9136204622445718,0.08637953775542817,0.6134969325153374
NSE_EQ|INF174KA1IY5,LOWVOL1,2025-06-20T00:00:00.000000,20.58,0.020231906876895273,0.03249756182505198,0.054409511864864445,0.3718450356096698,1.2778440218529579,0.8215031457229464,0.17849685427705364,1.1627906976744187
NSE_EQ|INF0R8F01067,TOP100CASE,2025-06-20T00:00:00.000000,10.6,0.024745771518086046,0.04012653928348495,0.06761089047694428,0.36600274517201487,0.6280673283198278,0.6453906354743193,0.3546093645256807,1.1627906976744187
NSE_EQ|INF740KA1UR9,TOP10ADD,2025-06-20T00:00:00.000000,99.16,0.024994752974740558,0.025700663250447734,0.05822475332796812,0.42928053012007156,0.22347659087580005,0.9234415524364566,0.07655844756354335,4.651162790697675
NSE_EQ|INF769K01HP3,MASPTOP50,2025-06-20T00:00:00.000000,54.26,0.026921903475410455,0.06465097845904308,0.14757001233471134,0.18243478501816116,0.3531806565525875,0.425532051462146,0.574467948537854,1.1627906976744187
NSE_EQ|INF247L01AU3,MONQ50,2025-06-20T00:00:00.000000,73.45,0.028979085764104393,0.05549338404625254,0.1403659249537296,0.2064538510586319,0.30321776568210285,0.24398712104560435,0.7560128789543956,0.5813953488372093
NSE_EQ|INF740KA1TA7,PVTBANKADD,2025-06-20T00:00:00.000000,28.13,0.029992523576059752,0.03218965550015192,0.0690421658587481,0.4344087877750072,0.33626273142283297,0.8140640949933403,0.18593590500665969,2.3255813953488373
NSE_EQ|INF769K01HF4,MAFANG,2025-06-20T00:00:00.000000,135.42,0.03021219121271842,0.07394449968624872,0.16482571547681393,0.18329780110657778,0.5892967174233609,0.44546236318703103,0.554537636812969,4.069767441860465
NSE_EQ|INE018A01030,LT,2025-06-20T00:00:00.000000,3662.0,0.031044819047847907,0.048693557521090176,0.1087212424330057,0.285545109245581,0.6914642700215615,0.6566256358617487,0.3433743641382513,0.0
NSE_EQ|INF769K01HI8,BFSI,2025-06-20T00:00:00.000000,27.34,0.031479500549551995,0.033373358187598436,0.07176082050387154,0.43867252810819873,0.3775039510203865,0.6107666343311192,0.3892333656688808,4.651162790697675
NSE_EQ|INF179KC1HZ7,HDFCPVTBAN,2025-06-20T00:00:00.000000,28.2,0.031736722691101324,0.034485085698474666,0.07002734196397677,0.4532047311952412,0.5123187959021989,0.7579677477666997,0.24203225223330027,2.3255813953488373
