Date,Name,P&L,Status,Direction,Trade Type,Max R Multiple
2024-10-22,FACT,-181.64,LOSS,LONG,1ST_ENTRY,0.0
2024-10-23,FACT,71.32,PROFIT,LONG,1ST_ENTRY,0.0
2024-10-24,FACT,-47.07,LOSS,LONG,1ST_ENTRY,0.0
2024-10-25,FACT,272.5,PROFIT,LONG,1ST_ENTRY,7.0
2024-10-28,FACT,-48.11,LOSS,LONG,1ST_ENTRY,0.0
2024-10-29,FACT,-46.2,LOSS,LONG,1ST_ENTRY,0.0
2024-10-30,FACT,-46.38,LOSS,LONG,1ST_ENTRY,0.0
2024-10-31,FACT,-47.62,LOSS,LONG,1ST_ENTRY,0.0
2024-11-04,FACT,-46.63,LOSS,LONG,1ST_ENTRY,0.0
2024-11-05,FACT,-46.68,LOSS,LONG,1ST_ENTRY,0.0
2024-11-06,FACT,-47.92,LOSS,LONG,1ST_ENTRY,0.0
2024-11-07,FACT,-36.1,LOSS,LONG,1ST_ENTRY,0.0
2024-11-08,FACT,-48.49,LOSS,LONG,1ST_ENTRY,0.0
2024-11-11,FACT,114.95,PROFIT,LONG,1ST_ENTRY,0.0
2024-11-12,FACT,-385.63,LOSS,LONG,1ST_ENTRY,0.0
2024-11-13,FACT,-46.53,LOSS,LONG,1ST_ENTRY,0.0
2024-11-14,FACT,-49.82,LOSS,LONG,1ST_ENTRY,0.0
2024-11-18,FACT,-48.9,LOSS,LONG,1ST_ENTRY,0.0
2024-11-19,FACT,-49.72,LOSS,LONG,1ST_ENTRY,0.0
2024-11-21,FACT,-48.41,LOSS,LONG,1ST_ENTRY,0.0
2024-11-22,FACT,188.55,PROFIT,LONG,1ST_ENTRY,3.0
2024-11-25,FACT,-46.17,LOSS,LONG,1ST_ENTRY,0.0
2024-11-26,FACT,109.9,PROFIT,LONG,1ST_ENTRY,3.0
2024-11-27,FACT,-47.63,LOSS,LONG,1ST_ENTRY,0.0
2024-11-28,FACT,316.2,PROFIT,LONG,1ST_ENTRY,7.0
2024-12-02,FACT,-49.82,LOSS,LONG,1ST_ENTRY,0.0
2024-12-03,FACT,-7.14,LOSS,LONG,1ST_ENTRY,0.0
2024-12-04,FACT,-45.6,LOSS,LONG,1ST_ENTRY,0.0
2024-12-05,FACT,12.92,PROFIT,LONG,1ST_ENTRY,0.0
2024-12-10,FACT,-17.0,LOSS,LONG,1ST_ENTRY,0.0
2024-12-11,FACT,-0.55,LOSS,LONG,1ST_ENTRY,0.0
2024-12-12,FACT,-33.9,LOSS,LONG,1ST_ENTRY,0.0
2024-12-13,FACT,-36.63,LOSS,LONG,1ST_ENTRY,0.0
2024-12-18,FACT,129.45,PROFIT,LONG,1ST_ENTRY,3.0
2024-12-20,FACT,-45.13,LOSS,LONG,1ST_ENTRY,0.0
2024-12-24,FACT,-404.5,LOSS,LONG,1ST_ENTRY,0.0
2024-12-26,FACT,-61.84,LOSS,LONG,1ST_ENTRY,0.0
2024-12-27,FACT,64.0,PROFIT,LONG,1ST_ENTRY,0.0
2024-12-30,FACT,-47.37,LOSS,LONG,1ST_ENTRY,0.0
2024-12-31,FACT,-312.16,LOSS,LONG,1ST_ENTRY,0.0
